SampID,Time,Rep,Treatment,MF,Name,FinalBMIS,Fraction,RT,mz,Volume_Normalized_Area,Predicted_Adduct_Ion
A_1C_T0,0,A,C,HNeg_1712,Unknown,"Thymine, 2H4",HILIC_Neg,1.857,215.16478,20126.98934261956,NA
A_1C_T0,0,A,C,HNeg_1744,Unknown,"DL-Alanine, 2H3",HILIC_Neg,11.259,217.08275,43620.98811096567,NA
A_1C_T0,0,A,C,HNeg_1770,Unknown,Inj_vol,HILIC_Neg,2.312,219.05197,12329.7,NA
A_1C_T0,0,A,C,HNeg_1811,Unknown,"Thymine, 2H4",HILIC_Neg,1.793,223.17001,0,NA
A_1C_T0,0,A,C,HNeg_1813,Unknown,"DL-Proline, 2H7",HILIC_Neg,10.558,223.7386,1724.9945962350737,NA
A_1C_T0,0,A,C,HNeg_1828,Unknown,"Thymine, 2H4",HILIC_Neg,1.784,225.18561,4341.415812988805,NA
A_1C_T0,0,A,C,HNeg_1840,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,2.545,227.13982,0,NA
A_1C_T0,0,A,C,HNeg_1877,Unknown,"Thymine, 2H4",HILIC_Neg,2.174,229.15564,380.43343460624027,NA
A_1C_T0,0,A,C,HNeg_1878,Unknown,"Thymine, 2H4",HILIC_Neg,1.82,229.18031,3113.106317348701,NA
A_1C_T0,0,A,C,HNeg_1884,Unknown,"Trehalose, 13C",HILIC_Neg,12.283,231.09799,376.51976669818345,NA
A_1C_T0,0,A,C,HNeg_1932,Unknown,Inj_vol,HILIC_Neg,10.469,237.06142,8235,NA
A_1C_T0,0,A,C,HNeg_1963,Thymidine,"DL-Proline, 2H7",HILIC_Neg,3.491,241.08284,13604.251772097983,NA
A_1C_T0,0,A,C,HNeg_1978,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,12.043,243.01785,5392.084525403395,NA
A_1C_T0,0,A,C,HNeg_1982,Uridine,Inj_vol,HILIC_Neg,6.15,243.06216,45801.08,NA
A_1C_T0,0,A,C,HNeg_1987,Unknown,"DL-Histidine, 15N",HILIC_Neg,2.743,243.15982,10543.909968640794,NA
A_1C_T0,0,A,C,HNeg_2000,Unknown,"DL-Proline, 2H7",HILIC_Neg,10.642,245.0338,345.7508574961487,NA
A_1C_T0,0,A,C,HNeg_2003,Unknown,Inj_vol,HILIC_Neg,2.614,245.10295,0,NA
A_1C_T0,0,A,C,HNeg_2005,Unknown,"Sucrose, 13C",HILIC_Neg,12.11,245.11432,325.35496966447704,NA
A_1C_T0,0,A,C,HNeg_2010,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,11.256,245.97084,17146.957948163013,NA
A_1C_T0,0,A,C,HNeg_2021,Unknown,Inj_vol,HILIC_Neg,2.393,247.11205,4107.74,NA
A_1C_T0,0,A,C,HNeg_2041,Unknown,"DL-Alanine, 2H3",HILIC_Neg,11.304,250.09267,5175.030151531302,NA
A_1C_T0,0,A,C,HNeg_2064,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,11.593,253.05652,261.93521261775686,NA
A_1C_T0,0,A,C,HNeg_2071,Unknown,Inj_vol,HILIC_Neg,1.759,253.21718,1088.24,NA
A_1C_T0,0,A,C,HNeg_2101,Unknown,Inj_vol,HILIC_Neg,2.566,257.17572,356.88,NA
A_1C_T0,0,A,C,HNeg_2117,D-Fructose 6-phosphate,Inj_vol,HILIC_Neg,12.705,259.02209,985.9,NA
A_1C_T0,0,A,C,HNeg_2138,Unknown,Inj_vol,HILIC_Neg,2.385,261.12808,7846.42,NA
A_1C_T0,0,A,C,HNeg_2158,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,9.616,265.0567,181.95129118147113,NA
A_1C_T0,0,A,C,HNeg_2171,Unknown,"DL-Proline, 2H7",HILIC_Neg,10.635,267.07217,2754052.408968413,NA
A_1C_T0,0,A,C,HNeg_2173,Inosine,"Cytosine, 13C2, 15N3",HILIC_Neg,8.003,267.07361,9994.429636969442,NA
A_1C_T0,0,A,C,HNeg_2184,Unknown,Inj_vol,HILIC_Neg,10.647,268.20483,319.82,NA
A_1C_T0,0,A,C,HNeg_2187,Unknown,"Adenine, 15N2",HILIC_Neg,1.807,269.21228,1726.0486312721318,NA
A_1C_T0,0,A,C,HNeg_2210,Unknown,Inj_vol,HILIC_Neg,9.707,273.12085,261.4,NA
A_1C_T0,0,A,C,HNeg_2224,Unknown,"DL-Proline, 2H7",HILIC_Neg,12.386,275.12473,604.5663944239803,NA
A_1C_T0,0,A,C,HNeg_2231,Unknown,"DL-Alanine, 2H3",HILIC_Neg,11.678,276.9884,5809.685253770098,NA
A_1C_T0,0,A,C,HNeg_2235,Unknown,Inj_vol,HILIC_Neg,1.954,277.15601,59962.84,NA
A_1C_T0,0,A,C,HNeg_2268,Unknown,"DL-Valine, 2H8",HILIC_Neg,9.308,283.06879,0,NA
A_1C_T0,0,A,C,HNeg_2270,Unknown,"DL-Proline, 2H7",HILIC_Neg,2.193,283.19153,336.1204184230165,NA
A_1C_T0,0,A,C,HNeg_2288,Unknown,"Thymine, 2H4",HILIC_Neg,1.814,285.23425,1820.248386280189,NA
A_1C_T0,0,A,C,HNeg_2302,Unknown,"DL-Histidine, 15N",HILIC_Neg,10.458,288.12027,8997.487874249931,NA
A_1C_T0,0,A,C,HNeg_2311,Unknown,"DL-Valine, 2H8",HILIC_Neg,10.612,289.0538,49357.02167160015,NA
A_1C_T0,0,A,C,HNeg_2379,Unknown,"DL-Histidine, 15N",HILIC_Neg,1.86,300.22278,2755.265255242777,NA
A_1C_T0,0,A,C,HNeg_2392,Unknown,"Sucrose, 13C",HILIC_Neg,1.861,301.22916,12064.819143236364,NA
A_1C_T0,0,A,C,HNeg_2401,Unknown,"Glycine betaine, 13C5, 15N",HILIC_Neg,8.188,302.06635,0,NA
A_1C_T0,0,A,C,HNeg_2406,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,11.862,302.53397,1877.810556154484,[M-2H]2-
A_1C_T0,0,A,C,HNeg_2409,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,8.009,303.05026,2638.8979029320726,[M+Cl]-
A_1C_T0,0,A,C,HNeg_2427,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,8.007,305.0473,0,NA
A_1C_T0,0,A,C,HNeg_2428,Unknown,"DL-Proline, 2H7",HILIC_Neg,13.755,305.06842,3149.63610413294,[M-2H]2-
A_1C_T0,0,A,C,HNeg_2429,Unknown,"Thymine, 2H4",HILIC_Neg,2.328,305.11862,6306.66202617037,NA
A_1C_T0,0,A,C,HNeg_2488,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,11.242,315.08087,112858.65678690319,NA
A_1C_T0,0,A,C,HNeg_2495,Unknown,"DL-Proline, 2H7",HILIC_Neg,10.746,316.08856,9699.319833601035,NA
A_1C_T0,0,A,C,HNeg_2505,Unknown,"Thymine, 2H4",HILIC_Neg,11.204,317.05469,397636.51976636035,NA
A_1C_T0,0,A,C,HNeg_2525,Unknown,"Thymine, 2H4",HILIC_Neg,11.224,319.05035,16330.194393757603,NA
A_1C_T0,0,A,C,HNeg_2527,Unknown,Inj_vol,HILIC_Neg,2.107,319.23975,2416.54,NA
A_1C_T0,0,A,C,HNeg_2542,Unknown,Inj_vol,HILIC_Neg,6.211,322.98849,107936.44,NA
A_1C_T0,0,A,C,HNeg_2543,Unknown,"DL-Alanine, 2H3",HILIC_Neg,11.974,323.02863,7218.223984131578,NA
A_1C_T0,0,A,C,HNeg_2550,Unknown,Inj_vol,HILIC_Neg,6.212,324.98645,101651.26,NA
A_1C_T0,0,A,C,HNeg_2624,Unknown,"DL-Valine, 2H8",HILIC_Neg,11.196,339.03638,0,NA
A_1C_T0,0,A,C,HNeg_2634,Trehalose,"Trehalose, 13C",HILIC_Neg,12.69,341.10855,5963.001569740554,NA
A_1C_T0,0,A,C,HNeg_2635,Sucrose,"Sucrose, 13C",HILIC_Neg,11.914,341.10889,976090.1497575222,NA
A_1C_T0,0,A,C,HNeg_2704,Unknown,Inj_vol,HILIC_Neg,10.813,358.08142,0,NA
A_1C_T0,0,A,C,HNeg_2736,Unknown,Inj_vol,HILIC_Neg,10.542,366.99765,3609.88,NA
A_1C_T0,0,A,C,HNeg_2776,Unknown,Inj_vol,HILIC_Neg,2.077,376.27258,71863.72,NA
A_1C_T0,0,A,C,HNeg_2778,Unknown,Inj_vol,HILIC_Neg,11.928,377.08578,56146.36,NA
A_1C_T0,0,A,C,HNeg_2798,Unknown,Inj_vol,HILIC_Neg,2.633,383.19342,6279.16,NA
A_1C_T0,0,A,C,HNeg_2805,Unknown,"DL-Proline, 2H7",HILIC_Neg,14.095,386.03351,12589.718189489786,NA
A_1C_T0,0,A,C,HNeg_2810,Unknown,"DL-Histidine, 15N",HILIC_Neg,11.944,387.11478,2686.4722261328984,[M+FA-H]-
A_1C_T0,0,A,C,HNeg_2823,Unknown,Inj_vol,HILIC_Neg,2.037,390.25189,67376.28,NA
A_1C_T0,0,A,C,HNeg_2873,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,11.996,404.10477,68613.80825606042,NA
A_1C_T0,0,A,C,HNeg_2894,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,10.215,412.14658,8723.078189139344,NA
A_1C_T0,0,A,C,HNeg_2895,Unknown,"Guanine, 13C, 15N2",HILIC_Neg,9.199,412.147,27559.8734454495,NA
A_1C_T0,0,A,C,HNeg_2905,Unknown,"Thymine, 2H4",HILIC_Neg,10.21,414.16245,122602.03877105209,NA
A_1C_T0,0,A,C,HNeg_2959,Unknown,"DL-Histidine, 15N",HILIC_Neg,10.385,441.03741,38689.829631991015,NA
A_1C_T0,0,A,C,HNeg_2973,Unknown,Inj_vol,HILIC_Neg,9.218,448.12378,1829.98,[M+Cl]-
A_1C_T0,0,A,C,HNeg_3035,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,11.227,486.09213,0,NA
A_1C_T0,0,A,C,HNeg_3041,Unknown,"Thymine, 2H4",HILIC_Neg,11.247,487.36606,9474.730724038329,NA
A_1C_T0,0,A,C,HNeg_3100,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,10.545,557.1355,4386.6123594991395,NA
A_1C_T0,0,A,C,HNeg_3111,Unknown,"Sucrose, 13C",HILIC_Neg,13.026,591.06366,6145.327779047593,NA
A_1C_T0,0,A,C,HNeg_3117,UDP-N-acetylglucosamine,"DL-Alanine, 2H3",HILIC_Neg,11.869,606.07513,8021.750507454022,NA
A_1C_T0,0,A,C,HNeg_345,Unknown,"Sucrose, 13C",HILIC_Neg,11.429,101.02325,174440.11805055983,NA
A_1C_T0,0,A,C,HNeg_352,Unknown,"DL-Alanine, 2H3",HILIC_Neg,11.202,102.05492,1257505.8880804337,NA
A_1C_T0,0,A,C,HNeg_354,Unknown,"DL-Valine, 2H8",HILIC_Neg,4.516,103.03887,86356.84343403204,NA
A_1C_T0,0,A,C,HNeg_361,Unknown,"DL-Histidine, 15N",HILIC_Neg,11.607,104.0341,73610.18478390554,NA
A_1C_T0,0,A,C,HNeg_408,Unknown,"Homarine, 2H3",HILIC_Neg,6.138,111.01884,115080.7849611421,NA
A_1C_T0,0,A,C,HNeg_425,Unknown,Inj_vol,HILIC_Neg,15.237,112.9362,7691.62,NA
A_1C_T0,0,A,C,HNeg_545,Unknown,"Thymine, 2H4",HILIC_Neg,2.742,121.07533,15454.942099269685,NA
A_1C_T0,0,A,C,HNeg_593,Unknown,"Trehalose, 13C",HILIC_Neg,3.497,126.90388,180132.28408073244,NA
A_1C_T0,0,A,C,HNeg_599,Unknown,"DL-Valine, 2H8",HILIC_Neg,11.22,127.05019,6931.4703726701255,[M-H2O-H]-
A_1C_T0,0,A,C,HNeg_604,Unknown,"DL-Histidine, 15N",HILIC_Neg,11.211,128.03406,1199465.9416206158,NA
A_1C_T0,0,A,C,HNeg_609,"Taurine, 2H4","DL-Histidine, 15N",HILIC_Neg,11.117,128.03421,1119055.1430152666,[M-H2O-H]-
A_1C_T0,0,A,C,HNeg_611,Unknown,"Thymine, 2H4",HILIC_Neg,2.586,128.08313,3939.9910172676355,NA
A_1C_T0,0,A,C,HNeg_631,Unknown,Inj_vol,HILIC_Neg,7.695,130.08624,3371.2,NA
A_1C_T0,0,A,C,HNeg_647,Unknown,"Sucrose, 13C",HILIC_Neg,12.251,131.08133,27126.199751733373,NA
A_1C_T0,0,A,C,HNeg_651,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,11.538,132.02922,805946.5074251351,NA
A_1C_T0,0,A,C,HNeg_682,Unknown,Inj_vol,HILIC_Neg,5.533,134.04597,578067.04,NA
A_1C_T0,0,A,C,HNeg_785,Unknown,Inj_vol,HILIC_Neg,10.16,141.06589,414595.96,NA
A_1C_T0,0,A,C,HNeg_787,Unknown,"Thymine, 2H4",HILIC_Neg,2.223,141.09108,1694.6850612110516,NA
A_1C_T0,0,A,C,HNeg_793,Unknown,"Adenine, 15N2",HILIC_Neg,2.192,142.09888,3199.738788744646,NA
A_1C_T0,0,A,C,HNeg_818,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,11.437,145.01329,487.4891339392957,NA
A_1C_T0,0,A,C,HNeg_824,Unknown,"DL-Valine, 2H8",HILIC_Neg,11.229,145.06082,364286.3739965042,NA
A_1C_T0,0,A,C,HNeg_830,Unknown,"DL-Alanine, 2H3",HILIC_Neg,11.236,146.04462,11022438.209080175,NA
A_1C_T0,0,A,C,HNeg_847,Unknown,"Sulfoacetic acid, 13C2",HILIC_Neg,11.233,146.50258,3053.7211778226883,NA
A_1C_T0,0,A,C,HNeg_928,Unknown,"DL-Valine, 2H8",HILIC_Neg,11.567,154.01112,29296.461959972297,[M+Na-2H]-
A_1C_T0,0,A,C,HNeg_953,Unknown,"DL-Valine, 2H8",HILIC_Neg,9.015,155.08163,0,NA
A_1C_T0,0,A,C,HNeg_sky1,2-Ketoglutaric acid,"L-Cysteic acid, 2H3",HILIC_Neg,11.245833333333334,145.01329879543,107640.0071106493,NA
A_1C_T0,0,A,C,HNeg_sky11,D-Gluconic acid,"DL-Proline, 2H7",HILIC_Neg,10.26,195.050533638882,5492.165013794437,NA
A_1C_T0,0,A,C,HNeg_sky19,L-Cysteic acid,"L-Cysteic acid, 2H3",HILIC_Neg,11.294166666666667,167.9964554042722,4340.1432793652875,NA
A_1C_T0,0,A,C,HNeg_sky22,N-Acetyl-L-glutamic acid,"DL-Alanine, 2H3",HILIC_Neg,10.545833333333334,188.0558707916152,80035.40533247069,NA
A_1C_T0,0,A,C,HNeg_sky27,Succinic acid,Inj_vol,HILIC_Neg,11.334166666666668,117.01814334699556,202933.02,NA
A_1C_T0,0,A,C,HNeg_sky32,Taurine,Inj_vol,HILIC_Neg,9.87,124.00628710277688,3755.04,NA
A_1C_T0,0,A,C,HNeg_sky34,Threonic acid,Inj_vol,HILIC_Neg,9.231666666666667,135.02882788651334,6736.74,NA
A_1C_T0,0,A,C,HNeg_sky36,Thymine,"Thymine, 2H4",HILIC_Neg,3.4791666666666665,125.03455597142438,46028.544692747884,NA
A_1C_T0,0,A,C,HNeg_sky6,Adenosine monophosphate,"L-Cysteic acid, 2H3",HILIC_Neg,10.925833333333332,346.0558877832655,10410.686919660136,NA
A_1C_T0,0,A,C,HPos_1006,Unknown,"Cytosine, 13C2, 15N3",HILIC_Pos,7.988,137.04572,31347.84484764952,NA
A_1C_T0,0,A,C,HPos_1007,Hypoxanthine,Inj_vol,HILIC_Pos,6.443,137.04584,58904.62,NA
A_1C_T0,0,A,C,HPos_1022,Trigonelline,Inj_vol,HILIC_Pos,8.484,138.05481,43569.4,NA
A_1C_T0,0,A,C,HPos_108,Glycine,"DL-Alanine, 2H3",HILIC_Pos,11.841,76.03989,29057.66282315186,NA
A_1C_T0,0,A,C,HPos_1147,Unknown,"DL-Proline, 2H7",HILIC_Pos,10.159,142.64003,17649.217130520537,NA
A_1C_T0,0,A,C,HPos_1148,Unknown,"DL-Alanine, 2H3",HILIC_Pos,10.16,142.92117,770.7689760908269,NA
A_1C_T0,0,A,C,HPos_1152,Unknown,Inj_vol,HILIC_Pos,10.161,142.95488,9959.96,NA
A_1C_T0,0,A,C,HPos_1157,Ectoine,Inj_vol,HILIC_Pos,10.162,143.08125,20404536.32,NA
A_1C_T0,0,A,C,HPos_1181,Unknown,Inj_vol,HILIC_Pos,10.161,143.20895,10473.98,NA
A_1C_T0,0,A,C,HPos_1183,Unknown,"DL-Proline, 2H7",HILIC_Pos,10.16,143.52464,14652.481838811753,NA
A_1C_T0,0,A,C,HPos_1184,Unknown,"DL-Alanine, 2H3",HILIC_Pos,11.335,144.06564,18682.66740353535,NA
A_1C_T0,0,A,C,HPos_1209,Unknown,"DL-Proline, 2H7",HILIC_Pos,11.934,145.04953,13139.457428689486,[M+2H]2+
A_1C_T0,0,A,C,HPos_1227,Unknown,Inj_vol,HILIC_Pos,11.905,146.09238,61790.66,NA
A_1C_T0,0,A,C,HPos_1230,(3-Carboxypropyl)trimethylammonium,"DL-Proline, 2H7",HILIC_Pos,10.573,146.11743,8768.926934752877,NA
A_1C_T0,0,A,C,HPos_1239,Unknown,"DL-Alanine, 2H3",HILIC_Pos,9.569,147.04401,1257.5318077134345,NA
A_1C_T0,0,A,C,HPos_1241,L-Glutamine,"DL-Proline, 2H7",HILIC_Pos,11.233,147.07626,1209294.515887427,NA
A_1C_T0,0,A,C,HPos_1251,L-Lysine,"Trehalose, 13C",HILIC_Pos,19.803,147.11264,49662.934886924915,NA
A_1C_T0,0,A,C,HPos_1256,Unknown,"DL-Alanine, 2H3",HILIC_Pos,11.209,147.59549,6142.52341400217,NA
A_1C_T0,0,A,C,HPos_1261,Unknown,"DL-Histidine, 15N",HILIC_Pos,11.174,148.04256,7578.858504915351,NA
A_1C_T0,0,A,C,HPos_1263,Unknown,"DL-Alanine, 2H3",HILIC_Pos,11.224,148.06003,10361323.17121459,NA
A_1C_T0,0,A,C,HPos_1282,Unknown,Inj_vol,HILIC_Pos,11.288,148.19348,4964.24,NA
A_1C_T0,0,A,C,HPos_1283,Unknown,"DL-Alanine, 2H3",HILIC_Pos,11.24,148.5274,6120.828251573361,NA
A_1C_T0,0,A,C,HPos_1321,Unknown,"DL-Valine, 2H8",HILIC_Pos,11.19,151.04765,7141.56981834037,NA
A_1C_T0,0,A,C,HPos_1336,Unknown,"Glycine betaine, 13C5, 15N",HILIC_Pos,8.154,152.05659,14741.564168224792,NA
A_1C_T0,0,A,C,HPos_1338,Unknown,"Homarine, 2H3",HILIC_Pos,9.556,152.05672,102665.81530734984,NA
A_1C_T0,0,A,C,HPos_137,Unknown,"DL-Valine, 2H8",HILIC_Pos,11.246,82.06575,11349.898402313087,NA
A_1C_T0,0,A,C,HPos_1381,Unknown,Inj_vol,HILIC_Pos,9.838,154.07202,95430.02,NA
A_1C_T0,0,A,C,HPos_1393,Unknown,"Arsenobetaine, 13C2",HILIC_Pos,9.633,154.13374,6528.559383196785,NA
A_1C_T0,0,A,C,HPos_1396,Unknown,"Sulfoacetic acid, 13C2",HILIC_Pos,11.085,155.04285,16066.709568083488,NA
A_1C_T0,0,A,C,HPos_1400,Unknown,Inj_vol,HILIC_Pos,9.709,155.08157,80679.22,NA
A_1C_T0,0,A,C,HPos_1419,L-Histidine,"DL-Histidine, 15N",HILIC_Pos,11.085,156.07669,367454.7975662306,NA
A_1C_T0,0,A,C,HPos_1446,Unknown,"Homarine, 2H3",HILIC_Pos,9.022,157.09721,43099.806651298386,NA
A_1C_T0,0,A,C,HPos_145,Unknown,"DL-Proline, 2H7",HILIC_Pos,11.206,84.04497,1857876.6410948008,NA
A_1C_T0,0,A,C,HPos_1479,Unknown,Inj_vol,HILIC_Pos,9.826,158.11728,6545.2,NA
A_1C_T0,0,A,C,HPos_1496,5-Hydroxyectoine,"L-Methionine, 2H3",HILIC_Pos,11.537,159.07632,48356.252485446275,NA
A_1C_T0,0,A,C,HPos_1519,Betonicine,"DL-Valine, 2H8",HILIC_Pos,9.271,160.09671,7697.2350359788,NA
A_1C_T0,0,A,C,HPos_1527,Unknown,Inj_vol,HILIC_Pos,10.604,160.13306,15171.06,NA
A_1C_T0,0,A,C,HPos_1537,Unknown,"DL-Proline, 2H7",HILIC_Pos,11.299,161.09218,44105.11895065688,[M+NH4]+
A_1C_T0,0,A,C,HPos_1538,Unknown,"DL-Proline, 2H7",HILIC_Pos,10.054,161.09219,123408.12555315916,NA
A_1C_T0,0,A,C,HPos_1544,Unknown,"L-Cysteic acid, 2H3",HILIC_Pos,11.367,162.07599,6309.029861146666,NA
A_1C_T0,0,A,C,HPos_1545,Unknown,"DL-Proline, 2H7",HILIC_Pos,11.158,162.0761,8623.826979030966,NA
A_1C_T0,0,A,C,HPos_1551,Unknown,"Guanine, 13C, 15N2",HILIC_Pos,9.055,162.11227,11264.816530268998,NA
A_1C_T0,0,A,C,HPos_156,Unknown,"DL-Valine, 2H8",HILIC_Pos,9.445,84.08127,11103.587617975778,NA
A_1C_T0,0,A,C,HPos_159,Unknown,"DL-Proline, 2H7",HILIC_Pos,11.959,85.02895,14358.542341423039,NA
A_1C_T0,0,A,C,HPos_1631,Unknown,Inj_vol,HILIC_Pos,9.895,166.05316,4413.4,NA
A_1C_T0,0,A,C,HPos_1635,Unknown,Inj_vol,HILIC_Pos,5.926,166.0862,8985.46,NA
A_1C_T0,0,A,C,HPos_1687,Unknown,"DL-Valine, 2H8",HILIC_Pos,11.252,169.05821,89421.37571529218,NA
A_1C_T0,0,A,C,HPos_1701,Unknown,Inj_vol,HILIC_Pos,11.49,170.01181,1433.3,NA
A_1C_T0,0,A,C,HPos_1726,Unknown,"DL-Histidine, 15N",HILIC_Pos,11.235,171.07648,293391.5170326078,NA
A_1C_T0,0,A,C,HPos_1780,Unknown,"Sucrose, 13C",HILIC_Pos,11.03,174.08743,46189.00173267595,NA
A_1C_T0,0,A,C,HPos_1786,Unknown,"Sucrose, 13C",HILIC_Pos,10.282,174.14838,534.9407419795949,NA
A_1C_T0,0,A,C,HPos_1812,Unknown,Inj_vol,HILIC_Pos,11.066,176.12794,20814.66,NA
A_1C_T0,0,A,C,HPos_1848,Arsenobetaine,"Arsenobetaine, 13C2",HILIC_Pos,8.045,179.00479,14799.53752856407,NA
A_1C_T0,0,A,C,HPos_186,Unknown,Inj_vol,HILIC_Pos,7.71,86.09691,17448.92,NA
A_1C_T0,0,A,C,HPos_187,Unknown,Inj_vol,HILIC_Pos,8.125,86.09692,23341.26,NA
A_1C_T0,0,A,C,HPos_1874,Unknown,"DL-Proline, 2H7",HILIC_Pos,11.934,180.08662,5159.422285902289,NA
A_1C_T0,0,A,C,HPos_1925,Unknown,Inj_vol,HILIC_Pos,8.763,182.06731,94745.14,NA
A_1C_T0,0,A,C,HPos_1926,L-Tyrosine,"DL-Alanine, 2H3",HILIC_Pos,9.578,182.08119,45069.4266078732,NA
A_1C_T0,0,A,C,HPos_1945,Unknown,"Sulfoacetic acid, 13C2",HILIC_Pos,10.048,183.07396,21300.48713932356,NA
A_1C_T0,0,A,C,HPos_1966,Unknown,"DL-Proline, 2H7",HILIC_Pos,2.052,184.06044,85.82952902547298,NA
A_1C_T0,0,A,C,HPos_1980,Unknown,"DL-Valine, 2H8",HILIC_Pos,11.273,185.03232,3174.9008802496314,NA
A_1C_T0,0,A,C,HPos_2034,Unknown,Inj_vol,HILIC_Pos,8.456,188.07051,6854.38,NA
A_1C_T0,0,A,C,HPos_2059,Unknown,"DL-Histidine, 15N",HILIC_Pos,11.811,189.12337,4548.181436267518,NA
A_1C_T0,0,A,C,HPos_208,Unknown,"DL-Alanine, 2H3",HILIC_Pos,10.955,88.03971,3184.123092408379,NA
A_1C_T0,0,A,C,HPos_2089,Unknown,"DL-Proline, 2H7",HILIC_Pos,10.697,191.10246,38709.09748518753,NA
A_1C_T0,0,A,C,HPos_209,Unknown,Inj_vol,HILIC_Pos,11.45,88.03993,44803.3,NA
A_1C_T0,0,A,C,HPos_2134,Unknown,Inj_vol,HILIC_Pos,4.438,194.06726,42653.84,NA
A_1C_T0,0,A,C,HPos_2181,Unknown,Inj_vol,HILIC_Pos,6.269,196.08298,398553.32,NA
A_1C_T0,0,A,C,HPos_2225,Unknown,"Sucrose, 13C",HILIC_Pos,9.621,198.12364,15576.93461902096,NA
