Time,Gene_Name,KEGG_ID,Pathway_ID,Pathway_info,Pathway_details,FC,p_adj
24,accA,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.081562459,0.840818057
36,accA,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.700688932,0.005110773
0,accB,K02160,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.069900167,0.999823315
12,accB,K02160,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.353291229,0.25476243
24,accB,K02160,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.718015102,0.022975726
36,accB,K02160,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.812264645,8.8e-5
0,accB,K02160,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.069900167,0.999823315
12,accB,K02160,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.353291229,0.25476243
24,accB,K02160,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.718015102,0.022975726
36,accB,K02160,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.812264645,8.8e-5
0,accB,K02160,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.069900167,0.999823315
12,accB,K02160,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.353291229,0.25476243
24,accB,K02160,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.718015102,0.022975726
36,accB,K02160,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.812264645,8.8e-5
0,accB,K02160,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.069900167,0.999823315
12,accB,K02160,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.353291229,0.25476243
24,accB,K02160,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.718015102,0.022975726
36,accB,K02160,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.812264645,8.8e-5
0,accC,K01961,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.092969239,0.999823315
12,accC,K01961,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.107687493,0.76477006
24,accC,K01961,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-1.340439552,1.27e-5
36,accC,K01961,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.420645619,0.042354955
0,accC,K01961,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.092969239,0.999823315
12,accC,K01961,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.107687493,0.76477006
24,accC,K01961,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-1.340439552,1.27e-5
36,accC,K01961,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.420645619,0.042354955
0,accC,K01961,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.092969239,0.999823315
12,accC,K01961,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.107687493,0.76477006
24,accC,K01961,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-1.340439552,1.27e-5
36,accC,K01961,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.420645619,0.042354955
0,accC,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.092969239,0.999823315
12,accC,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.107687493,0.76477006
24,accC,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-1.340439552,1.27e-5
36,accC,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.420645619,0.042354955
0,accD,K01963,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.023489425,0.999823315
12,accD,K01963,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.112380917,0.853456022
24,accD,K01963,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-1.661259468,1.09e-7
36,accD,K01963,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.059963264,0.852923413
0,accD,K01963,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],0.023489425,0.999823315
12,accD,K01963,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],0.112380917,0.853456022
24,accD,K01963,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-1.661259468,1.09e-7
36,accD,K01963,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],0.059963264,0.852923413
0,accD,K01963,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.023489425,0.999823315
12,accD,K01963,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.112380917,0.853456022
24,accD,K01963,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-1.661259468,1.09e-7
36,accD,K01963,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.059963264,0.852923413
0,accD,K01963,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.023489425,0.999823315
12,accD,K01963,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.112380917,0.853456022
24,accD,K01963,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-1.661259468,1.09e-7
36,accD,K01963,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.059963264,0.852923413
0,aceF,K00627,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.008378736,0.999823315
12,aceF,K00627,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.267807131,0.459255551
24,aceF,K00627,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.974090912,0.003625724
36,aceF,K00627,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-1.002525973,8.06e-7
0,aceF,K00627,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.008378736,0.999823315
12,aceF,K00627,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.267807131,0.459255551
24,aceF,K00627,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.974090912,0.003625724
36,aceF,K00627,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-1.002525973,8.06e-7
0,aceF,K00627,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.008378736,0.999823315
12,aceF,K00627,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.267807131,0.459255551
24,aceF,K00627,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.974090912,0.003625724
36,aceF,K00627,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-1.002525973,8.06e-7
0,acnB,K01682,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.121809294,0.999823315
12,acnB,K01682,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.444656298,0.134394878
24,acnB,K01682,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.346538435,0.31244437
36,acnB,K01682,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.321632347,0.130308889
0,acnB,K01682,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.121809294,0.999823315
12,acnB,K01682,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.444656298,0.134394878
24,acnB,K01682,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.346538435,0.31244437
36,acnB,K01682,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.321632347,0.130308889
0,acnB,K01682,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],-0.121809294,0.999823315
12,acnB,K01682,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],0.444656298,0.134394878
24,acnB,K01682,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],-0.346538435,0.31244437
36,acnB,K01682,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],-0.321632347,0.130308889
0,acnB,K01682,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.121809294,0.999823315
12,acnB,K01682,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.444656298,0.134394878
24,acnB,K01682,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.346538435,0.31244437
36,acnB,K01682,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.321632347,0.130308889
0,acoA,K00161,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.091722034,0.999823315
12,acoA,K00161,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.369024634,0.179784992
24,acoA,K00161,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.219434576,0.611405388
36,acoA,K00161,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.555877113,0.053171712
0,acoA,K00161,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.091722034,0.999823315
12,acoA,K00161,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.369024634,0.179784992
24,acoA,K00161,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.219434576,0.611405388
36,acoA,K00161,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.555877113,0.053171712
0,acoA,K00161,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],0.091722034,0.999823315
12,acoA,K00161,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],0.369024634,0.179784992
24,acoA,K00161,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],0.219434576,0.611405388
36,acoA,K00161,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],0.555877113,0.053171712
0,acoA,K00161,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.091722034,0.999823315
12,acoA,K00161,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.369024634,0.179784992
24,acoA,K00161,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.219434576,0.611405388
36,acoA,K00161,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.555877113,0.053171712
0,acoB,K00162,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.189280432,0.999823315
12,acoB,K00162,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.085617394,0.836397866
24,acoB,K00162,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.840172246,0.008109738
36,acoB,K00162,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],-0.097329987,0.694707351
0,acoB,K00162,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.189280432,0.999823315
12,acoB,K00162,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.085617394,0.836397866
24,acoB,K00162,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.840172246,0.008109738
36,acoB,K00162,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.097329987,0.694707351
0,acoB,K00162,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.189280432,0.999823315
12,acoB,K00162,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.085617394,0.836397866
24,acoB,K00162,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.840172246,0.008109738
36,acoB,K00162,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.097329987,0.694707351
0,acoB,K00162,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],-0.189280432,0.999823315
12,acoB,K00162,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],0.085617394,0.836397866
24,acoB,K00162,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],-0.840172246,0.008109738
36,acoB,K00162,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066],-0.097329987,0.694707351
0,acpP,K02078,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.150312756,0.999823315
12,acpP,K02078,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.214288829,0.639891958
24,acpP,K02078,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-2.048908325,3.27e-10
36,acpP,K02078,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-1.165547502,2.45e-10
0,acrA,K02005,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules,-0.159277577,0.999823315
12,acrA,K02005,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules,-0.322276438,0.496849633
24,acrA,K02005,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules,-1.044037679,0.00708653
36,acrA,K02005,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules,-0.072276009,0.810707074
0,acs,K01895,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680],0.079345341,0.999823315
12,acs,K01895,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680],-0.224918497,0.638983835
24,acs,K01895,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680],-1.350033597,0.00117153
36,acs,K01895,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680],-0.751068724,1.37378e-4
0,acs,K01895,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.079345341,0.999823315
12,acs,K01895,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.224918497,0.638983835
24,acs,K01895,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-1.350033597,0.00117153
36,acs,K01895,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],-0.751068724,1.37378e-4
0,acs,K01895,9103,Lipid metabolism,01004 Lipid biosynthesis proteins [BR:ko01004],0.079345341,0.999823315
12,acs,K01895,9103,Lipid metabolism,01004 Lipid biosynthesis proteins [BR:ko01004],-0.224918497,0.638983835
24,acs,K01895,9103,Lipid metabolism,01004 Lipid biosynthesis proteins [BR:ko01004],-1.350033597,0.00117153
36,acs,K01895,9103,Lipid metabolism,01004 Lipid biosynthesis proteins [BR:ko01004],-0.751068724,1.37378e-4
0,acs,K01895,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.079345341,0.999823315
12,acs,K01895,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.224918497,0.638983835
24,acs,K01895,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-1.350033597,0.00117153
36,acs,K01895,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],-0.751068724,1.37378e-4
0,acs,K01895,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.079345341,0.999823315
12,acs,K01895,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.224918497,0.638983835
24,acs,K01895,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-1.350033597,0.00117153
36,acs,K01895,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.751068724,1.37378e-4
0,acs,K01895,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.079345341,0.999823315
12,acs,K01895,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.224918497,0.638983835
24,acs,K01895,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-1.350033597,0.00117153
36,acs,K01895,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.751068724,1.37378e-4
0,acsF,K04035,9108,Metabolism of cofactors and vitamins,00860 Porphyrin and chlorophyll metabolism [PATH:ko00860],0.233947893,0.999823315
12,acsF,K04035,9108,Metabolism of cofactors and vitamins,00860 Porphyrin and chlorophyll metabolism [PATH:ko00860],-0.335282501,0.525741038
24,acsF,K04035,9108,Metabolism of cofactors and vitamins,00860 Porphyrin and chlorophyll metabolism [PATH:ko00860],-1.870443217,4.37e-7
36,acsF,K04035,9108,Metabolism of cofactors and vitamins,00860 Porphyrin and chlorophyll metabolism [PATH:ko00860],-0.993034333,3.89e-5
0,adk,K00939,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],0.024077989,0.999823315
12,adk,K00939,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],0.013032871,0.985854334
24,adk,K00939,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],-1.36720762,4.35673e-4
36,adk,K00939,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],-0.05525398,0.852923413
0,adk,K00939,9141,Transport and catabolism,04147 Exosome [BR:ko04147],0.024077989,0.999823315
12,adk,K00939,9141,Transport and catabolism,04147 Exosome [BR:ko04147],0.013032871,0.985854334
24,adk,K00939,9141,Transport and catabolism,04147 Exosome [BR:ko04147],-1.36720762,4.35673e-4
36,adk,K00939,9141,Transport and catabolism,04147 Exosome [BR:ko04147],-0.05525398,0.852923413
0,adk,K00939,9108,Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],0.024077989,0.999823315
12,adk,K00939,9108,Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],0.013032871,0.985854334
24,adk,K00939,9108,Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],-1.36720762,4.35673e-4
36,adk,K00939,9108,Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],-0.05525398,0.852923413
0,adoA,K14331,9191,Metabolism,99983 Lipid metabolism,-0.155480587,0.999823315
12,adoA,K14331,9191,Metabolism,99983 Lipid metabolism,-0.596736136,0.03131946
24,adoA,K14331,9191,Metabolism,99983 Lipid metabolism,-2.235944919,1.26e-13
36,adoA,K14331,9191,Metabolism,99983 Lipid metabolism,-0.920191522,5.58e-6
0,afuA,K02012,9131,Membrane transport,02010 ABC transporters [PATH:ko02010],0.046352548,0.999823315
12,afuA,K02012,9131,Membrane transport,02010 ABC transporters [PATH:ko02010],-0.287381847,0.463030354
24,afuA,K02012,9131,Membrane transport,02010 ABC transporters [PATH:ko02010],-0.899048973,0.028875408
36,afuA,K02012,9131,Membrane transport,02010 ABC transporters [PATH:ko02010],-0.794642803,0.001138876
0,afuA,K02012,9131,Membrane transport,02000 Transporters [BR:ko02000],0.046352548,0.999823315
12,afuA,K02012,9131,Membrane transport,02000 Transporters [BR:ko02000],-0.287381847,0.463030354
24,afuA,K02012,9131,Membrane transport,02000 Transporters [BR:ko02000],-0.899048973,0.028875408
36,afuA,K02012,9131,Membrane transport,02000 Transporters [BR:ko02000],-0.794642803,0.001138876
0,ahcY,K01251,9141,Transport and catabolism,04147 Exosome [BR:ko04147],-0.258084371,0.999823315
12,ahcY,K01251,9141,Transport and catabolism,04147 Exosome [BR:ko04147],-0.32654118,0.316195661
24,ahcY,K01251,9141,Transport and catabolism,04147 Exosome [BR:ko04147],-0.861146335,0.009401347
36,ahcY,K01251,9141,Transport and catabolism,04147 Exosome [BR:ko04147],-0.820232548,7.9e-6
0,ahcY,K01251,9112,Enzyme families,01009 Protein phosphatase and associated proteins [BR:ko01009],-0.258084371,0.999823315
12,ahcY,K01251,9112,Enzyme families,01009 Protein phosphatase and associated proteins [BR:ko01009],-0.32654118,0.316195661
24,ahcY,K01251,9112,Enzyme families,01009 Protein phosphatase and associated proteins [BR:ko01009],-0.861146335,0.009401347
36,ahcY,K01251,9112,Enzyme families,01009 Protein phosphatase and associated proteins [BR:ko01009],-0.820232548,7.9e-6
0,ahcY,K01251,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270],-0.258084371,0.999823315
12,ahcY,K01251,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270],-0.32654118,0.316195661
24,ahcY,K01251,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270],-0.861146335,0.009401347
36,ahcY,K01251,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270],-0.820232548,7.9e-6
0,alaS,K01872,9105,Amino acid metabolism,01007 Amino acid related enzymes [BR:ko01007],-0.10903509,0.999823315
12,alaS,K01872,9105,Amino acid metabolism,01007 Amino acid related enzymes [BR:ko01007],0.263562242,0.464302541
24,alaS,K01872,9105,Amino acid metabolism,01007 Amino acid related enzymes [BR:ko01007],-0.124889851,0.748620318
36,alaS,K01872,9105,Amino acid metabolism,01007 Amino acid related enzymes [BR:ko01007],0.030383849,0.911313874
0,alaS,K01872,9122,Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],-0.10903509,0.999823315
12,alaS,K01872,9122,Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],0.263562242,0.464302541
24,alaS,K01872,9122,Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],-0.124889851,0.748620318
36,alaS,K01872,9122,Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],0.030383849,0.911313874
0,alaS,K01872,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016],-0.10903509,0.999823315
12,alaS,K01872,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016],0.263562242,0.464302541
24,alaS,K01872,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016],-0.124889851,0.748620318
36,alaS,K01872,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016],0.030383849,0.911313874
0,alr,K01775,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],0.515503129,0.999823315
12,alr,K01775,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],0.891274358,0.005324948
24,alr,K01775,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],2.302718727,4.69e-10
36,alr,K01775,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],1.223682894,2.54512e-4
0,alr,K01775,9106,Metabolism of other amino acids,00473 D-Alanine metabolism [PATH:ko00473],0.515503129,0.999823315
12,alr,K01775,9106,Metabolism of other amino acids,00473 D-Alanine metabolism [PATH:ko00473],0.891274358,0.005324948
24,alr,K01775,9106,Metabolism of other amino acids,00473 D-Alanine metabolism [PATH:ko00473],2.302718727,4.69e-10
36,alr,K01775,9106,Metabolism of other amino acids,00473 D-Alanine metabolism [PATH:ko00473],1.223682894,2.54512e-4
0,ama,K01436,9112,Enzyme families,01002 Peptidases [BR:ko01002],0.166158437,0.999823315
12,ama,K01436,9112,Enzyme families,01002 Peptidases [BR:ko01002],0.347083052,0.28246091
24,ama,K01436,9112,Enzyme families,01002 Peptidases [BR:ko01002],0.51727717,0.220998075
36,ama,K01436,9112,Enzyme families,01002 Peptidases [BR:ko01002],0.281505187,0.30081709
0,amiC,K01448,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],0.175001064,0.999823315
12,amiC,K01448,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],1.110945304,0.001355144
24,amiC,K01448,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],1.555786759,3.63411e-4
36,amiC,K01448,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],1.39501081,1.25e-5
0,amiC,K01448,9124,Replication and repair,03036 Chromosome and associated proteins [BR:ko03036],0.175001064,0.999823315
12,amiC,K01448,9124,Replication and repair,03036 Chromosome and associated proteins [BR:ko03036],1.110945304,0.001355144
24,amiC,K01448,9124,Replication and repair,03036 Chromosome and associated proteins [BR:ko03036],1.555786759,3.63411e-4
