Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
Me-B12,B12,230511_Smp_B_1C_T42,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,13,3,2
Me-B12,B12,230511_Smp_B_1C_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,21,0,2
Me-B12,B12,230511_Smp_B_1C_T6,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,2,12,2
Me-B12,B12,230511_Smp_B_3LV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.33,27,6,2
Me-B12,B12,230511_Smp_B_3LV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,2,15,2
Me-B12,B12,230511_Smp_B_3LV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,15,12,2
Me-B12,B12,230511_Smp_B_3LV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,141,32,2
Me-B12,B12,230511_Smp_B_3LV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,16,11,2
Me-B12,B12,230511_Smp_B_4LGV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,4,13,2
Me-B12,B12,230511_Smp_B_4LGV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,35,0,2
Me-B12,B12,230511_Smp_B_4LGV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,8,0,2
Me-B12,B12,230511_Smp_B_4LGV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,160,23,2
Me-B12,B12,230511_Smp_B_4LGV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,72,1,2
Me-B12,B12,230511_Smp_B_6HV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.33,41,3,2
Me-B12,B12,230511_Smp_B_6HV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.35,11,21,2
Me-B12,B12,230511_Smp_B_6HV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,20,1,2
Me-B12,B12,230511_Smp_B_6HV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,39,2,2
Me-B12,B12,230511_Smp_B_6HV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.36,20,8,2
Me-B12,B12,230511_Smp_C_1C_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,86,20,2
Me-B12,B12,230511_Smp_C_1C_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,76,0,2
Me-B12,B12,230511_Smp_C_1C_T18,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,29,0,2
Me-B12,B12,230511_Smp_C_1C_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,125,41,2
Me-B12,B12,230511_Smp_C_1C_T30,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,8,11,2
Me-B12,B12,230511_Smp_C_1C_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,33,1,2
Me-B12,B12,230511_Smp_C_1C_T42,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,17,0,2
Me-B12,B12,230511_Smp_C_1C_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,33,0,2
Me-B12,B12,230511_Smp_C_1C_T6,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,6,0,2
Me-B12,B12,230511_Smp_C_3LV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,25,0,1
Me-B12,B12,230511_Smp_C_3LV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,128,0,2
Me-B12,B12,230511_Smp_C_3LV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,57,0,1
Me-B12,B12,230511_Smp_C_3LV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,1,4,2
Me-B12,B12,230511_Smp_C_3LV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.25,10,5,2
Me-B12,B12,230511_Smp_C_4LGV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,2,30,2
Me-B12,B12,230511_Smp_C_4LGV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,41,0,2
Me-B12,B12,230511_Smp_C_4LGV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,16,3,2
Me-B12,B12,230511_Smp_C_4LGV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.29,4,19,2
Me-B12,B12,230511_Smp_C_4LGV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,3,0,2
Me-B12,B12,230511_Smp_C_6HV_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,41,0,2
Me-B12,B12,230511_Smp_C_6HV_T12,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,50,17,2
Me-B12,B12,230511_Smp_C_6HV_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,61,0,2
Me-B12,B12,230511_Smp_C_6HV_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,48,0,2
Me-B12,B12,230511_Smp_C_6HV_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,27,1,2
Me-B12,B12,230511_Smp_E_2LG_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,22,21,2
Me-B12,B12,230511_Smp_E_2LG_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,9,0,2
Me-B12,B12,230511_Smp_E_2LG_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,21,6,2
Me-B12,B12,230511_Smp_E_2LG_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.36,20,0,2
Me-B12,B12,230511_Smp_E_3LG_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,39,0,2
Me-B12,B12,230511_Smp_E_3LG_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,1,6,2
Me-B12,B12,230511_Smp_E_3LG_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,24,14,2
Me-B12,B12,230511_Smp_E_3LG_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,343,19,2
Me-B12,B12,230511_Smp_E_4LG_T0,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,6,20,2
Me-B12,B12,230511_Smp_E_4LG_T24,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.3,20,0,2
Me-B12,B12,230511_Smp_E_4LG_T36,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.35,47,1,2
Me-B12,B12,230511_Smp_E_4LG_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.32,37,0,2
Me-B12,B12,230511_Smp_E_8G_T48,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.31,12,1,2
Me-B12,B12,230511_Std_10nM_B12s_1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,14345531,109079,2
Me-B12,B12,230511_Std_10nM_B12s_2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,16618850,268796,2
Me-B12,B12,230511_Std_1nM_B12s_1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,733702,102,2
Me-B12,B12,230511_Std_1nM_B12s_2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,847614,13654,2
Me-B12,B12,230511_Std_20nM_B12s_1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,24784634,378398,2
Me-B12,B12,230511_Std_20nM_B12s_2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,27017504,435547,2
Me-B12,B12,230511_Std_5nM_B12s_1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.26,6345480,37145,2
Me-B12,B12,230511_Std_5nM_B12s_2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.27,7774670,90989,2
Me-B12,B12,230511_Std_OnM_B12s_1,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.35,37,29,2
Me-B12,B12,230511_Std_OnM_B12s_2,673.0872,1,665.5684,1,Ion [665.568949/665.568949],7.28,10,8,2
Me-B12,B12,230511_Blk_DOM_blk_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,301,0,1
Me-B12,B12,230511_Blk_DOM_blk_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.28,16,19,1
Me-B12,B12,230511_Blk_Filter_blk_1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,192,0,1
Me-B12,B12,230511_Blk_Filter_blk_2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,174,5,1
Me-B12,B12,230511_Blk_Media_blk,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.28,263,0,1
Me-B12,B12,230511_Poo_TruePooMortality_Full1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,2520,166,1
Me-B12,B12,230511_Poo_TruePooMortality_Full2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,100,2,1
Me-B12,B12,230511_Poo_TruePooMortality_Full3,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,352,0,1
Me-B12,B12,230511_Poo_TruePooMortality_Full4,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,108,5,1
Me-B12,B12,230511_Smp_A_1C_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,135,51,1
Me-B12,B12,230511_Smp_A_1C_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.24,175,19,1
Me-B12,B12,230511_Smp_A_1C_T18,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,49,44,1
Me-B12,B12,230511_Smp_A_1C_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,355,28,1
Me-B12,B12,230511_Smp_A_1C_T30,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,161,27,1
Me-B12,B12,230511_Smp_A_1C_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,4948,1183,1
Me-B12,B12,230511_Smp_A_1C_T42,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,781,1,1
Me-B12,B12,230511_Smp_A_1C_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,701,8,1
Me-B12,B12,230511_Smp_A_1C_T6,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,2,5,2
Me-B12,B12,230511_Smp_A_3LV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,292,11,1
Me-B12,B12,230511_Smp_A_3LV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,464,9,1
Me-B12,B12,230511_Smp_A_3LV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,942,40,1
Me-B12,B12,230511_Smp_A_3LV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.28,66,42,1
Me-B12,B12,230511_Smp_A_3LV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,77,0,1
Me-B12,B12,230511_Smp_A_4LGV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,186,32,1
Me-B12,B12,230511_Smp_A_4LGV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,434,6,1
Me-B12,B12,230511_Smp_A_4LGV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,260,0,1
Me-B12,B12,230511_Smp_A_4LGV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,3537,254,1
Me-B12,B12,230511_Smp_A_4LGV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.25,1858,193,1
Me-B12,B12,230511_Smp_A_6HV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,504,27,1
Me-B12,B12,230511_Smp_A_6HV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.25,1176,17,1
Me-B12,B12,230511_Smp_A_6HV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,111,114,1
Me-B12,B12,230511_Smp_A_6HV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,1195,1696,1
Me-B12,B12,230511_Smp_A_6HV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,17,0,1
Me-B12,B12,230511_Smp_A_8G_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,334,0,1
Me-B12,B12,230511_Smp_A_8G_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,321,19,2
Me-B12,B12,230511_Smp_A_9V_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,157,147,1
Me-B12,B12,230511_Smp_B_1C_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,388,0,1
Me-B12,B12,230511_Smp_B_1C_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,66,24,1
Me-B12,B12,230511_Smp_B_1C_T18,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,135,116,1
Me-B12,B12,230511_Smp_B_1C_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.33,110,30,1
Me-B12,B12,230511_Smp_B_1C_T30,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.25,357,0,1
Me-B12,B12,230511_Smp_B_1C_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,1769,3234,1
Me-B12,B12,230511_Smp_B_1C_T42,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,555,26,1
Me-B12,B12,230511_Smp_B_1C_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.28,633,222,1
Me-B12,B12,230511_Smp_B_1C_T6,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,433,13,1
Me-B12,B12,230511_Smp_B_3LV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.33,427,46,1
Me-B12,B12,230511_Smp_B_3LV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,332,18,1
Me-B12,B12,230511_Smp_B_3LV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,386,1,1
Me-B12,B12,230511_Smp_B_3LV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,2018,1133,1
Me-B12,B12,230511_Smp_B_3LV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,1384,105,1
Me-B12,B12,230511_Smp_B_4LGV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,401,7,1
Me-B12,B12,230511_Smp_B_4LGV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,58,7,1
Me-B12,B12,230511_Smp_B_4LGV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,12,0,1
Me-B12,B12,230511_Smp_B_4LGV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,456,66,1
Me-B12,B12,230511_Smp_B_4LGV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,1946,919,1
Me-B12,B12,230511_Smp_B_6HV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,44,15,1
Me-B12,B12,230511_Smp_B_6HV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.35,301,29,1
Me-B12,B12,230511_Smp_B_6HV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,227,20,1
Me-B12,B12,230511_Smp_B_6HV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,70,11,1
Me-B12,B12,230511_Smp_B_6HV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,410,17,1
Me-B12,B12,230511_Smp_C_1C_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,254,3,1
Me-B12,B12,230511_Smp_C_1C_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.35,1085,18,1
Me-B12,B12,230511_Smp_C_1C_T18,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,141,13,1
Me-B12,B12,230511_Smp_C_1C_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,1174,29,1
Me-B12,B12,230511_Smp_C_1C_T30,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,1269,88,1
Me-B12,B12,230511_Smp_C_1C_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,938,26,1
Me-B12,B12,230511_Smp_C_1C_T42,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,284,25,1
Me-B12,B12,230511_Smp_C_1C_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,602,1638,1
Me-B12,B12,230511_Smp_C_1C_T6,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,435,0,1
Me-B12,B12,230511_Smp_C_3LV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,1,16,2
Me-B12,B12,230511_Smp_C_3LV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.28,1501,30,1
Me-B12,B12,230511_Smp_C_3LV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.34,57,351,2
Me-B12,B12,230511_Smp_C_3LV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,221,11,1
Me-B12,B12,230511_Smp_C_3LV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,3569,57,1
Me-B12,B12,230511_Smp_C_4LGV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,190,0,1
Me-B12,B12,230511_Smp_C_4LGV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,423,64,1
Me-B12,B12,230511_Smp_C_4LGV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.33,585,58,1
Me-B12,B12,230511_Smp_C_4LGV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,1071,123,1
Me-B12,B12,230511_Smp_C_4LGV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,402,162,1
Me-B12,B12,230511_Smp_C_6HV_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,94,6,1
Me-B12,B12,230511_Smp_C_6HV_T12,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,742,0,1
Me-B12,B12,230511_Smp_C_6HV_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.37,214,9,1
Me-B12,B12,230511_Smp_C_6HV_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,270,4,1
Me-B12,B12,230511_Smp_C_6HV_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,83,64,1
Me-B12,B12,230511_Smp_E_2LG_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,99,41,1
Me-B12,B12,230511_Smp_E_2LG_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,44,12,1
Me-B12,B12,230511_Smp_E_2LG_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,477,27,1
Me-B12,B12,230511_Smp_E_2LG_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.32,1666,28,1
Me-B12,B12,230511_Smp_E_3LG_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,711,0,1
Me-B12,B12,230511_Smp_E_3LG_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,476,1,1
Me-B12,B12,230511_Smp_E_3LG_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,280,0,1
Me-B12,B12,230511_Smp_E_3LG_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,1827,414,1
Me-B12,B12,230511_Smp_E_4LG_T0,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,432,2,1
Me-B12,B12,230511_Smp_E_4LG_T24,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.28,28,0,1
Me-B12,B12,230511_Smp_E_4LG_T36,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.34,524,5,1
Me-B12,B12,230511_Smp_E_4LG_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,90,47,1
Me-B12,B12,230511_Smp_E_8G_T48,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.29,124,112,1
Me-B12,B12,230511_Std_10nM_B12s_1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,19607538,173180,1
Me-B12,B12,230511_Std_10nM_B12s_2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,21697172,269664,1
Me-B12,B12,230511_Std_1nM_B12s_1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.26,1000952,13059,1
Me-B12,B12,230511_Std_1nM_B12s_2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,1104033,13582,1
Me-B12,B12,230511_Std_20nM_B12s_1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,33396786,500442,1
Me-B12,B12,230511_Std_20nM_B12s_2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,35382840,497501,1
Me-B12,B12,230511_Std_5nM_B12s_1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,8588534,82363,1
Me-B12,B12,230511_Std_5nM_B12s_2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.27,10022567,156503,1
Me-B12,B12,230511_Std_OnM_B12s_1,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.3,1308,105,1
Me-B12,B12,230511_Std_OnM_B12s_2,673.0872,1,147.1484,1,Ion [147.148949/147.148949],7.31,656,0,1
Ado-B12,B12,230511_Blk_DOM_blk_T0,790.7234,1,665.6158,1,Ion [665.616349/665.616349],6.21,253,0,1
Ado-B12,B12,230511_Blk_DOM_blk_T48,790.7234,1,665.6158,1,Ion [665.616349/665.616349],6.18,32,18,2
Ado-B12,B12,230511_Blk_Filter_blk_1,790.7234,1,665.6158,1,Ion [665.616349/665.616349],6.26,454,0,1
Ado-B12,B12,230511_Blk_Filter_blk_2,790.7234,1,665.6158,1,Ion [665.616349/665.616349],6.28,282,0,1
Ado-B12,B12,230511_Blk_Media_blk,790.7234,1,665.6158,1,Ion [665.616349/665.616349],6.21,13,12,2
