rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	1	1	0.9211918025276077	-3.145910465294212	N/A	61.21439053372042	C11H23N5O3	[M + H]+	IBIDRSSEHFLGSD	InChI=1S/C11H23N5O3/c1-6(2)8(12)9(17)16-7(10(18)19)4-3-5-15-11(13)14/h6-8H,3-5,12H2,1-2H3,(H,16,17)(H,18,19)(H4,13,14,15)	valylarginine	CC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)N	-1.21766853	444523;4266827;7000187;7038549;7038550;92200789;92200790	HMDB:(29121);SuperNatural:(SN00290110);ZINC bio:(ZINC02047887 ZINC03156382);additional;PubMed;COCONUT:(CNP0278184);KNApSAcK:(18321);Natural Products:(UNPD178401);PubChem:(444523 4266827 7000187 7038549 7038550 92200789 92200790);CHEBI:(73711);PubChem class - bio and metabolites;Training Set;KEGG Mine	8610439290	274.18743896484375	635.74	138_200929_Poo_TruePooMortality_DDApos_138
12	1	1	1	0.9193299100390042	-1.402500405698959	N/A	48.74706769220923	C13H17N3O4	[M + H]+	OMSMPWHEGLNQOD	InChI=1S/C13H17N3O4/c14-9(7-11(15)17)12(18)16-10(13(19)20)6-8-4-2-1-3-5-8/h1-5,9-10H,6-7,14H2,(H2,15,17)(H,16,18)(H,19,20)	L-Phenylalanine, L-asparaginyl-	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)N	-0.897579372	11471482;18218184;61173661;103868994	HMDB:(28738);PubChem:(11471482 18218184 61173661 103868994);CHEBI:(141424);additional;PubChem class - bio and metabolites;Training Set;PubMed	17317994	280.1293640136719	167.455	45_200929_Poo_TruePooMortality_DDApos_45
13	1	1	2	0.9058328027463767	-0.46999469910385017	N/A	64.69624023746007	C10H22O6	[M + H]+	JLFNLZLINWHATN	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2	Pentaglycol	C(COCCOCCOCCOCCO)O	-1.70000005	62551;58325915	NORMAN:(NS00001002);PubChem:(62551 58325915);CHEBI:(39631);Maconda:(CON00072);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed;Biocyc:(CPD-20410);KEGG Mine	8674610274	239.14883931477866	158.75	25_200929_Poo_TruePooMortality_DDApos_25
14	1	1	1	0.9052718355329439	-2.6027078954961995	N/A	56.195513602266644	C5H10N2O3	[M + H]+	ZDXPYRJPNDTMRX	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	glutamin	C(CC(=O)N)C(C(=O)O)N	-1.80237091	738;5961;145815;3949139;5460866;5460862;5460863;5460865;5460870;5460871;6992086;6992096;11789351;15560190;15560193;15560194;16213341;16217249;16217534;16217562;16217702;25244553;60111834;56835788;57616937;59584414;59274060;58203006;71308839;71308840;71308841;71308842;71309440;71309658;71309916;71309977;86671832;87103585;87103617;87528065;87151912;88901893;88959280;87944963;87945056;90973518;91337929;101964087;101964088;102387240;117059134;124202803;129848886;131879741	HMDB:(641 3423);PubChem class - food;SuperNatural:(SN00002229 SN00002216);ZINC bio:(ZINC01532526 ZINC01532609);additional;HSDB:(56-85-9);MeSH:(5961 145815);Plantcyc:(GLN GLUTAMIDE);PubMed;NORMAN:(NS00006419);COCONUT:(CNP0361973);KNApSAcK:(1359);Natural Products:(UNPD3701);PubChem:(738 5961 145815 3949139 5460866 5460862 5460863 5460865 5460870 5460871 6992086 6992096 11789351 15560190 15560193 15560194 16213341 16217249 16217534 16217562 16217702 25244553 60111834 56835788 57616937 59584414 59274060 58203006 71308839 71308840 71308841 71308842 71309440 71309658 71309916 71309977 86671832 87103585 87103617 87528065 87151912 88901893 88959280 87944963 87945056 90973518 91337929 101964087 101964088 102387240 117059134 124202803 129848886 131879741);CHEBI:(32666 32678 32665 28300 32672 17061 58359 32673 18050 32679 58000);PubChem class - bio and metabolites;KEGG:(C00064 C00303 C00819);PubChem class - safety and toxic;YMDB:(990 2);Training Set;PubChem class - drug;Biocyc:(GLN GLUTAMIDE)	255847294	147.07638549804688	661.132	159_200929_Poo_TruePooMortality_DDApos_159
15	1	1	1	0.9039380638341034	-0.4032132105046668	N/A	76.11305636603626	C12H26O7	[M + H]+	IIRDTKBZINWQAW	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	Hexagol	C(COCCOCCOCCOCCOCCO)O	-1.89999998	17472	HMDB:(61822);PubChem class - food;Maconda:(CON00073);additional;MeSH:(17472);PubMed;NORMAN:(NS00001003);COCONUT:(CNP0147909);PubChem:(17472);CHEBI:(49793);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8810939502	283.17510986328125	155.146	23_200929_Poo_TruePooMortality_DDApos_23
16	1	1	1	0.8967247194293958	-35.49237051692024	N/A	62.49298178330722	C11H23NO2	[M + H]+	STEYNUVPFMIUOY	InChI=1S/C11H23NO2/c1-10(2)7-9(14)8-11(3,4)12(10)5-6-13/h9,13-14H,5-8H2,1-4H3	4-Hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol	CC1(CC(CC(N1CCO)(C)C)O)C	0.699999988	104301	NORMAN:(NS00011457);PubChem class - safety and toxic;Training Set;PubChem:(104301)	67387394	202.18016052246094	168.043	47_200929_Poo_TruePooMortality_DDApos_47
17	1	1	1	0.8966505044855394	-1.7056425251778353	N/A	62.27254630274189	C5H10N2O3	[M + H]+	ZDXPYRJPNDTMRX	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	glutamin	C(CC(=O)N)C(C(=O)O)N	-1.80237091	738;5961;145815;3949139;5460866;5460862;5460863;5460865;5460870;5460871;6992086;6992096;11789351;15560190;15560193;15560194;16213341;16217249;16217534;16217562;16217702;25244553;60111834;56835788;57616937;59584414;59274060;58203006;71308839;71308840;71308841;71308842;71309440;71309658;71309916;71309977;86671832;87103585;87103617;87528065;87151912;88901893;88959280;87944963;87945056;90973518;91337929;101964087;101964088;102387240;117059134;124202803;129848886;131879741	HMDB:(641 3423);PubChem class - food;SuperNatural:(SN00002229 SN00002216);ZINC bio:(ZINC01532526 ZINC01532609);additional;HSDB:(56-85-9);MeSH:(5961 145815);Plantcyc:(GLN GLUTAMIDE);PubMed;NORMAN:(NS00006419);COCONUT:(CNP0361973);KNApSAcK:(1359);Natural Products:(UNPD3701);PubChem:(738 5961 145815 3949139 5460866 5460862 5460863 5460865 5460870 5460871 6992086 6992096 11789351 15560190 15560193 15560194 16213341 16217249 16217534 16217562 16217702 25244553 60111834 56835788 57616937 59584414 59274060 58203006 71308839 71308840 71308841 71308842 71309440 71309658 71309916 71309977 86671832 87103585 87103617 87528065 87151912 88901893 88959280 87944963 87945056 90973518 91337929 101964087 101964088 102387240 117059134 124202803 129848886 131879741);CHEBI:(32666 32678 32665 28300 32672 17061 58359 32673 18050 32679 58000);PubChem class - bio and metabolites;KEGG:(C00064 C00303 C00819);PubChem class - safety and toxic;YMDB:(990 2);Training Set;PubChem class - drug;Biocyc:(GLN GLUTAMIDE)	255847294	147.07635498046875	659.974	158_200929_Poo_TruePooMortality_DDApos_158
18	1	2	2	0.8963360127051219	-13.780111216986151	N/A	45.30518461343445	C5H7NO3	[M + C2H3N + H]+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolate	C1CC(=O)NC1C(=O)O	-0.800000012	499;7405;439685;7043982;5289118;10534703;21226158;57536822;71309033;76973407;76973951;101602863;102268616;101958799;102601775;122222193;131698836;134081798	HMDB:(267 805 60262);SuperNatural:(SN00254500 SN00064283 SN00064282 SN00247327);ZINC bio:(ZINC03598262 ZINC03598263);additional;MeSH:(499 7405 439685);Plantcyc:(5-OXOPROLINE);PubMed;NORMAN:(NS00006581);COCONUT:(CNP0086290 CNP0206174);KNApSAcK:(7403);Natural Products:(UNPD42473 UNPD161299 UNPD125310);PubChem:(499 7405 439685 7043982 5289118 10534703 21226158 57536822 71309033 76973407 76973951 101602863 102268616 101958799 102601775 122222193 131698836 134081798);CHEBI:(58402 57948 57606 16010 16924 18183);PubChem class - bio and metabolites;KEGG:(C01879 C02237);PubChem class - safety and toxic;YMDB:(107);Training Set;PubChem class - drug;Biocyc:(5-OXOPROLINE CPD-656 CPD0-2503 SMA-0000541)	121629054	171.0763905843099	657.241	156_200929_Poo_TruePooMortality_DDApos_156
19	1	2	2	0.8868158894856395	-2.039316693200805	N/A	47.21166012044527	C4H7NO4	[M + H]+	CKLJMWTZIZZHCS	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	aspartate	C(C(C(=O)O)N)C(=O)O	-1.77312338	424;5960;83887;450566;450604;4519554;4083066;4124657;5247115;5460294;5460295;5460540;5460541;5460542;10558662;10630526;12049686;12308664;12308668;12308669;12308671;12308673;12308674;12308675;12598255;11083931;10290822;10329332;10351755;11309534;15939608;16212100;16213422;16213451;16213452;16217270;16217560;21725660;23443619;25240784;25241352;25241353;25241375;44367445;51038521;51038522;51038523;46932124;53725855;53725851;53725854;57397078;57608697;58214776;58214777;70701347;71308907;71308911;71308912;71309134;71309148;71309340;71310325;87436032;90476139;91451713;91872969;117064490;119057279;129695553;133188414;131708239;131885152;139060126;139148725	HMDB:(191 6483 62186 62501);PubChem class - food;SuperNatural:(SN00001746 SN00395771 SN00255261 SN00001724);ZINC bio:(ZINC00895032 ZINC00895218);additional;HSDB:(56-84-8);MeSH:(424 5960 83887 5460294 5460541);Plantcyc:(CPD-302 L-ASPARTATE);PubMed;NORMAN:(NS00001096);COCONUT:(CNP0086214 CNP0141839);KNApSAcK:(1342);Natural Products:(UNPD100871 UNPD110883);PubChem:(424 5960 83887 450566 450604 4519554 4083066 4124657 5247115 5460294 5460295 5460540 5460541 5460542 10558662 10630526 12049686 12308664 12308668 12308669 12308671 12308673 12308674 12308675 12598255 11083931 10290822 10329332 10351755 11309534 15939608 16212100 16213422 16213451 16213452 16217270 16217560 21725660 23443619 25240784 25241352 25241353 25241375 44367445 51038521 51038522 51038523 46932124 53725855 53725851 53725854 57397078 57608697 58214776 58214777 70701347 71308907 71308911 71308912 71309134 71309148 71309340 71310325 87436032 90476139 91451713 91872969 117064490 119057279 129695553 133188414 131708239 131885152 139060126 139148725);CHEBI:(29993 22660 17053 35391 29995 17364 29990 29994 29991);PubChem class - bio and metabolites;KEGG:(C00402 C16433 C00049);PubChem class - safety and toxic;YMDB:(896);Training Set;PubChem class - drug;Biocyc:(SMA-0000674 CPD-302 L-ASPARTATE)	255847294	134.0448455810547	675.022	160_200929_Poo_TruePooMortality_DDApos_160
20	1	2	2	0.8807126759379565	-0.7824204511960865	N/A	73.90992855780368	C6H13N3O3	[M + H]+	RHGKLRLOHDJJDR	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	citrulina	C(CC(C(=O)O)N)CNC(=O)N	-1.72453046	833;9750;637599;7004911;6992098;20849076;20849075;23246389;25244873;46781035;51037232;51037233;51037432;51037433;46932128;66575410;71308811;71309881;71309912;76973415;88198246;90307909;90475362;117064641;117064645;121225332;122363708;123785846;129850295;133687875;132276577;134817836	HMDB:(904);SuperNatural:(SN00002233 SN00002810);ZINC bio:(ZINC01532614 ZINC02166829);additional;MeSH:(9750);Plantcyc:(L-CITRULLINE);PubMed;NORMAN:(NS00013538);COCONUT:(CNP0209633);KNApSAcK:(1348);Natural Products:(UNPD1128);PubChem:(833 9750 637599 7004911 6992098 20849076 20849075 23246389 25244873 46781035 51037232 51037233 51037432 51037433 46932128 66575410 71308811 71309881 71309912 76973415 88198246 90307909 90475362 117064641 117064645 121225332 122363708 123785846 129850295 133687875 132276577 134817836);CHEBI:(49007 16349 57743 18211 66922);PubChem class - bio and metabolites;KEGG:(C00327);PubChem class - safety and toxic;YMDB:(60);Training Set;PubChem class - drug;Biocyc:(A-XGLC-HEX-1:5 L-CITRULLINE CPD1UA-5675 CPDQT-42 SMA-0000091)	121629054	176.10302225748697	727.822	170_200929_Poo_TruePooMortality_DDApos_170
21	1	1	1	0.8580988466320767	-1.565306943930575	N/A	56.52507434712086	C6H15NO3	[M + H]+	GSEJCLTVZPLZKY	InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2	Daltogen	C(CO)N(CCO)CCO	-1.32379127	7618;3777650;60155598;87722408;92043528;131668496	HMDB:(32538);PubChem class - food;ZINC bio:(ZINC00896409);additional;HSDB:(102-71-6);MeSH:(7618);Plantcyc:(CPD0-2459);PubMed;NORMAN:(NS00006192 NS00054947);COCONUT:(CNP0192497);PubChem:(7618 3777650 60155598 87722408 92043528 131668496);CHEBI:(132755 28621);PubChem class - bio and metabolites;KEGG:(C06771);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD0-2459)	254700398	150.11251831054688	279.329	58_200929_Poo_TruePooMortality_DDApos_58
22	1	1	1	0.8476324296853104	-11.498083057286888	N/A	24.081725637427134	C5H11NO2	[M + H]+	KWIUHFFTVRNATP	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3/p+1	Abromine	C[N+](C)(C)CC(=O)O	-0.100000001	247;248;12718901;11073713;16213878;45038329;51038295;51038296;51038297;51038298;71776458;117065540;117065541;124202881;124202882	HMDB:(43 59606);PubChem class - food;SuperNatural:(SN00002249 SN00365145);ZINC bio:(ZINC01532728);additional;HSDB:(107-43-7);MeSH:(247 248);Plantcyc:(BETAINE X-DARA-HEX-2:5_2:KETO);PubMed;NORMAN:(NS00002774);COCONUT:(CNP0076992 CNP0143060 CNP0334080 CNP0422425);KNApSAcK:(7291);Natural Products:(UNPD327 UNPD173950);PubChem:(247 248 12718901 11073713 16213878 45038329 51038295 51038296 51038297 51038298 71776458 117065540 117065541 124202881 124202882);CHEBI:(17750 41139);PubChem class - bio and metabolites;KEGG:(C00719);PubChem class - safety and toxic;YMDB:(1516);Training Set;PubChem class - drug;Biocyc:(BETAINE)	255847294	118.08647155761719	490.142	88_200929_Poo_TruePooMortality_DDApos_88
23	1	1	1	0.8440318982020004	-0.5924846112658732	N/A	65.0367479003866	C12H26O7	[M + H3N + H]+	IIRDTKBZINWQAW	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	Hexagol	C(COCCOCCOCCOCCOCCO)O	-1.89999998	17472	HMDB:(61822);PubChem class - food;Maconda:(CON00073);additional;MeSH:(17472);PubMed;NORMAN:(NS00001003);COCONUT:(CNP0147909);PubChem:(17472);CHEBI:(49793);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8810939502	300.20155843098956	154.625	21_200929_Poo_TruePooMortality_DDApos_21
24	1	1	1	0.8377310154910157	-3.091977716014106	N/A	42.65932759981851	C6H15NO3	[M + H]+	GSEJCLTVZPLZKY	InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2	Daltogen	C(CO)N(CCO)CCO	-1.32379127	7618;3777650;60155598;87722408;92043528;131668496	HMDB:(32538);PubChem class - food;ZINC bio:(ZINC00896409);additional;HSDB:(102-71-6);MeSH:(7618);Plantcyc:(CPD0-2459);PubMed;NORMAN:(NS00006192 NS00054947);COCONUT:(CNP0192497);PubChem:(7618 3777650 60155598 87722408 92043528 131668496);CHEBI:(132755 28621);PubChem class - bio and metabolites;KEGG:(C06771);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD0-2459)	254700398	150.11244201660156	278.097	57_200929_Poo_TruePooMortality_DDApos_57
25	1	1	3	0.8241975380413197	-0.8587664382910266	N/A	62.238655463522065	C14H30O8	[M + H3N + H]+	XPJRQAIZZQMSCM	InChI=1S/C14H30O8/c15-1-3-17-5-7-19-9-11-21-13-14-22-12-10-20-8-6-18-4-2-16/h15-16H,1-14H2	Epitope ID:161055	C(COCCOCCOCCOCCOCCOCCO)O	-2.0	79718	NORMAN:(NS00010523);HMDB:(61835);PubChem:(79718);CHEBI:(44748);Maconda:(CON00074);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed;KEGG Mine	8674083946	344.22791544596356	151.627	19_200929_Poo_TruePooMortality_DDApos_19
26	1	2	2	0.817626484716137	-0.5472038834327122	N/A	72.1452654950349	C14H19N3O4	[M + H]+	VHLZDSUANXBJHW	InChI=1S/C14H19N3O4/c15-10(6-7-12(16)18)13(19)17-11(14(20)21)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8,15H2,(H2,16,18)(H,17,19)(H,20,21)	2-[(2,5-diamino-5-oxopentanoyl)amino]-3-phenylpropanoic acid	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)N	-0.448366642	18218210;57288566	COCONUT:(CNP0334031);HMDB:(28804);PubChem:(18218210 57288566);CHEBI:(141430);additional;Training Set	2637866	294.1448059082031	167.451	42_200929_Poo_TruePooMortality_DDApos_42
27	1	1	1	0.8085463100587857	-1.1865780984156429	N/A	52.199745905354725	C8H18O5	[M + H]+	UWHCKJMYHZGTIT	InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2	Tetraglycol	C(COCCOCCOCCO)O	-1.60000002	8200;24806090;100996607	HMDB:(94708);PubChem class - food;SuperNatural:(SN00322133);Maconda:(CON00071);ZINC bio:(ZINC01591820);additional;HSDB:(112-60-7);MeSH:(8200);PubMed;NORMAN:(NS00009833);COCONUT:(CNP0180147);Natural Products:(UNPD121889);PubChem:(8200 24806090 100996607);CHEBI:(44920);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8812029550	195.12266540527344	164.25	30_200929_Poo_TruePooMortality_DDApos_30
28	1	1	1	0.7890140659496946	-44.26604401472296	N/A	62.333561755279185	C12H23NO	[M + H]+	JHWNWJKBPDFINM	InChI=1S/C12H23NO/c14-12-10-8-6-4-2-1-3-5-7-9-11-13-12/h1-11H2,(H,13,14)	Nylon 12	C1CCCCCC(=O)NCCCCC1	3.49645877	13690	NORMAN:(NS00003509);PubChem class - food;PubChem:(13690);HSDB:(947-04-6);MeSH:(13690);PubChem class - safety and toxic;Training Set;PubMed	201605702	198.1852798461914	139.039	15_200929_Poo_TruePooMortality_DDApos_15
29	1	1	1	0.7759105389494011	-1.5261267617136036	N/A	36.844196403312566	C10H22O6	[M + H3N + H]+	JLFNLZLINWHATN	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2	Pentaglycol	C(COCCOCCOCCOCCO)O	-1.70000005	62551;58325915	NORMAN:(NS00001002);PubChem:(62551 58325915);CHEBI:(39631);Maconda:(CON00072);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed;Biocyc:(CPD-20410);KEGG Mine	8674610274	256.1755065917969	158.75	24_200929_Poo_TruePooMortality_DDApos_24
30	1	2	2	0.7731887760434013	-6.372748369052737	N/A	15.446938336308728	C5H5N5	[M + H]+	GFFGJBXGBJISGV	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	adenine	C1=NC2=NC=NC(=C2N1)N	-0.420141459	190;145773;5231965;5232021;10510933;10558676;12254451;12254453;12254454;10855511;10920592;10997088;11094673;11116183;11263523;16735292;16735560;22564646;53835261;53835262;53349103;57461989;66995532;101129868;101129869;101153232;101153233;101239558;101239559;136016208;136136180;136165284;136645033;136645034;137067458;136174353;136680286;136238512;136735806;136494260;136496524;138396137	HMDB:(34);ZINC bio:(ZINC00000882);additional;MeSH:(190);Plantcyc:(ADENINE);PubMed;NORMAN:(NS00010868);COCONUT:(CNP0128332);KNApSAcK:(1490);Natural Products:(UNPD128555);PubChem:(190 145773 5231965 5232021 10510933 10558676 12254451 12254453 12254454 10855511 10920592 10997088 11094673 11116183 11263523 16735292 16735560 22564646 53835261 53835262 53349103 57461989 66995532 101129868 101129869 101153232 101153233 101239558 101239559 136016208 136136180 136165284 136645033 136645034 137067458 136174353 136680286 136238512 136735806 136494260 136496524 138396137);CHEBI:(16708);PubChem class - bio and metabolites;KEGG:(C00147);PubChem class - safety and toxic;YMDB:(887);PubChem class - drug;Biocyc:(ADENINE SMA-0000072)	120564094	136.061767578125	336.887	69_200929_Poo_TruePooMortality_DDApos_69
31	1	1	1	0.75829612603438	-0.2902405070751416	N/A	54.670249391243836	C6H14N4O2	[M + H]+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	arginine	C(CC(C(=O)O)N)CN=C(N)N	-1.63495886	232;6322;28782;1549073;1549104;71070;444360;4473077;5231987;5246487;5260203;5287702;5460857;5460858;5460860;5460861;6913512;9793996;9815369;11770759;10313339;11321257;17753939;16217519;16217580;16217799;20798608;22726443;51037639;51037640;51037641;46932130;52941769;54144538;57182507;57616918;57616923;57616939;57616947;59119146;58618352;59645172;59667378;59373181;59373187;59373188;59373199;59905797;58203011;71308530;71309938;71310245;76974066;76974115;76974116;88031296;87559318;88901885;88901889;88901891;88901915;89059445;90938205;90472354;101002480;101611381;117064614;117065487;118099679;118264379;123552702;122363709;124202805;129834582;129850676;131801519;131878490;132276652;134817835;135207570	HMDB:(517 3416 62762);PubChem class - food;SuperNatural:(SN00319966 SN00002215 SN00002252 SN00369945);ZINC bio:(ZINC01532525 ZINC01532749 ZINC12484881 ZINC12496140);additional;HSDB:(74-79-3);MeSH:(6322 1549073 5287702);Plantcyc:(ARG CPD-220);PubMed;NORMAN:(NS00005927);COCONUT:(CNP0076956 CNP0083479 CNP0257247);KNApSAcK:(1340);Natural Products:(UNPD76205 UNPD20394);PubChem:(232 6322 28782 1549073 1549104 71070 444360 4473077 5231987 5246487 5260203 5287702 5460857 5460858 5460860 5460861 6913512 9793996 9815369 11770759 10313339 11321257 17753939 16217519 16217580 16217799 20798608 22726443 51037639 51037640 51037641 46932130 52941769 54144538 57182507 57616918 57616923 57616939 57616947 59119146 58618352 59645172 59667378 59373181 59373187 59373188 59373199 59905797 58203011 71308530 71309938 71310245 76974066 76974115 76974116 88031296 87559318 88901885 88901889 88901891 88901915 89059445 90938205 90472354 101002480 101611381 117064614 117065487 118099679 118264379 123552702 122363709 124202805 129834582 129850676 131801519 131878490 132276652 134817835 135207570);CHEBI:(15816 32689 32695 16467 32696 32688 32683 32690 32681 29016 32682 32697);PubChem class - bio and metabolites;KEGG:(C02385 C00062 C00792);PubChem class - safety and toxic;YMDB:(592);Training Set;PubChem class - drug;Biocyc:(ARG CPD-220)	255847294	175.11903381347656	1236.453	193_200929_Poo_TruePooMortality_DDApos_193
32	1	1	1	0.7542587841229328	-0.35513283829470005	N/A	82.44153546544024	C6H14N4O2	[M + H]+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	arginine	C(CC(C(=O)O)N)CN=C(N)N	-1.63495886	232;6322;28782;1549073;1549104;71070;444360;4473077;5231987;5246487;5260203;5287702;5460857;5460858;5460860;5460861;6913512;9793996;9815369;11770759;10313339;11321257;17753939;16217519;16217580;16217799;20798608;22726443;51037639;51037640;51037641;46932130;52941769;54144538;57182507;57616918;57616923;57616939;57616947;59119146;58618352;59645172;59667378;59373181;59373187;59373188;59373199;59905797;58203011;71308530;71309938;71310245;76974066;76974115;76974116;88031296;87559318;88901885;88901889;88901891;88901915;89059445;90938205;90472354;101002480;101611381;117064614;117065487;118099679;118264379;123552702;122363709;124202805;129834582;129850676;131801519;131878490;132276652;134817835;135207570	HMDB:(517 3416 62762);PubChem class - food;SuperNatural:(SN00319966 SN00002215 SN00002252 SN00369945);ZINC bio:(ZINC01532525 ZINC01532749 ZINC12484881 ZINC12496140);additional;HSDB:(74-79-3);MeSH:(6322 1549073 5287702);Plantcyc:(ARG CPD-220);PubMed;NORMAN:(NS00005927);COCONUT:(CNP0076956 CNP0083479 CNP0257247);KNApSAcK:(1340);Natural Products:(UNPD76205 UNPD20394);PubChem:(232 6322 28782 1549073 1549104 71070 444360 4473077 5231987 5246487 5260203 5287702 5460857 5460858 5460860 5460861 6913512 9793996 9815369 11770759 10313339 11321257 17753939 16217519 16217580 16217799 20798608 22726443 51037639 51037640 51037641 46932130 52941769 54144538 57182507 57616918 57616923 57616939 57616947 59119146 58618352 59645172 59667378 59373181 59373187 59373188 59373199 59905797 58203011 71308530 71309938 71310245 76974066 76974115 76974116 88031296 87559318 88901885 88901889 88901891 88901915 89059445 90938205 90472354 101002480 101611381 117064614 117065487 118099679 118264379 123552702 122363709 124202805 129834582 129850676 131801519 131878490 132276652 134817835 135207570);CHEBI:(15816 32689 32695 16467 32696 32688 32683 32690 32681 29016 32682 32697);PubChem class - bio and metabolites;KEGG:(C02385 C00062 C00792);PubChem class - safety and toxic;YMDB:(592);Training Set;PubChem class - drug;Biocyc:(ARG CPD-220)	255847294	175.11900329589844	1238.307	194_200929_Poo_TruePooMortality_DDApos_194
33	1	2	2	0.7494263160901746	-51.01479985554419	N/A	157.92704287397805	C13H25NO3	[M - H2O + H]+	HEUQYIQQCNOXOG	InChI=1S/C13H25NO3/c1-2-3-4-5-6-7-8-9-10-12(15)14-11-13(16)17/h2-11H2,1H3,(H,14,15)(H,16,17)	acylglycine C:11	CCCCCCCCCCC(=O)NCC(=O)O	3.79999995	454092	COCONUT:(CNP0135234);HMDB:(13286);PubChem:(454092);PubMed;CHEBI:(74438)	2097258	226.1800079345703	122.382	8_200929_Poo_TruePooMortality_DDApos_8
34	1	1	1	0.735979164129293	-16.55124514870965	N/A	19.38750627044179	C5H11NO2	[M + H]+	KWIUHFFTVRNATP	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3/p+1	Abromine	C[N+](C)(C)CC(=O)O	-0.100000001	247;248;12718901;11073713;16213878;45038329;51038295;51038296;51038297;51038298;71776458;117065540;117065541;124202881;124202882	HMDB:(43 59606);PubChem class - food;SuperNatural:(SN00002249 SN00365145);ZINC bio:(ZINC01532728);additional;HSDB:(107-43-7);MeSH:(247 248);Plantcyc:(BETAINE X-DARA-HEX-2:5_2:KETO);PubMed;NORMAN:(NS00002774);COCONUT:(CNP0076992 CNP0143060 CNP0334080 CNP0422425);KNApSAcK:(7291);Natural Products:(UNPD327 UNPD173950);PubChem:(247 248 12718901 11073713 16213878 45038329 51038295 51038296 51038297 51038298 71776458 117065540 117065541 124202881 124202882);CHEBI:(17750 41139);PubChem class - bio and metabolites;KEGG:(C00719);PubChem class - safety and toxic;YMDB:(1516);Training Set;PubChem class - drug;Biocyc:(BETAINE)	255847294	118.0864028930664	488.041	84_200929_Poo_TruePooMortality_DDApos_84
