GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
purL,cds-WP_011131641.1,2044,4383,3,PMM0003,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,F,6.3.5.3,"GO:0000166,GO:0003674,GO:0003824,GO:0004642,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016884,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046040,GO:0046390,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",M00048,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",R04463,,ko:K01952,"RC00010,RC01160","COG0046@1|root,COG0046@2|Bacteria,1G228@1117|Cyanobacteria,1MM3D@1212|Prochloraceae","AIRS,AIRS_C",purL,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,0,1117|Cyanobacteria,1535,59919.PMM0003,100,,purL,phosphoribosylformylglycinamidine synthase subunit PurL,WP_011131641.1,CDS
purF,cds-WP_011131642.1,4430,5890,4,PMM0004,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01002",,,F,2.4.2.14,,M00048,"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130",R01072,,ko:K00764,"RC00010,RC02724,RC02752","COG0034@1|root,COG0034@2|Bacteria,1GBV1@1117|Cyanobacteria,1MKNP@1212|Prochloraceae","GATase_6,Pribosyltran",purF,Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,0,1117|Cyanobacteria,967,59919.PMM0004,100,,purF,amidophosphoribosyltransferase,WP_011131642.1,CDS
PMM0005,cds-WP_011131643.1,5887,8328,5,PMM0005,NC_005072.1,-,NA,"ko00000,ko01000,ko03032,ko03400",,,L,5.99.1.3,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005886,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:0097367,GO:0140097,GO:1901265,GO:1901360,GO:1901363",,,,,ko:K02469,,"COG0188@1|root,COG0188@2|Bacteria,1G0FB@1117|Cyanobacteria,1MKJ9@1212|Prochloraceae","DNA_gyraseA_C,DNA_topoisoIV",,"COG188 Type IIA topoisomerase (DNA gyrase topo II, topoisomerase IV), A subunit DNA replication, recombination, and repair",0,1117|Cyanobacteria,1562,59919.PMM0005,100,,,DNA topoisomerase 4 subunit A,WP_011131643.1,CDS
PMM0006,cds-WP_011131644.1,8416,9270,6,PMM0006,NC_005072.1,-,NA,,,,S,,,,,,,,,"COG0457@1|root,COG0457@2|Bacteria,1G0BJ@1117|Cyanobacteria,1MM4X@1212|Prochloraceae","TPR_1,TPR_11,TPR_16,TPR_19,TPR_2,TPR_8",,Alternative locus ID,4.30E-122,1117|Cyanobacteria,357,59919.PMM0006,100,,,tetratricopeptide repeat protein,WP_011131644.1,CDS
queG,cds-WP_011131645.1,9275,10219,7,PMM0007,NC_005072.1,-,NA,"ko00000,ko01000,ko03016",,,C,1.17.99.6,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0018130,GO:0019438,GO:0034404,GO:0034470,GO:0034641,GO:0034654,GO:0034660,GO:0042455,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046116,GO:0046483,GO:0046872,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0052693,GO:0055086,GO:0055114,GO:0071704,GO:0090304,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",,,,,ko:K18979,,"COG1600@1|root,COG1600@2|Bacteria,1G007@1117|Cyanobacteria,1MM6S@1212|Prochloraceae","DUF1730,Fer4_16",queG,"Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)",1.07E-236,1117|Cyanobacteria,649,59919.PMM0007,100,,queG,tRNA epoxyqueuosine(34) reductase QueG,WP_011131645.1,CDS
PMM0008,cds-WP_011131646.1,10367,11104,8,PMM0008,NC_005072.1,+,NA,,,,S,,,,,,,,,"COG2928@1|root,COG2928@2|Bacteria,1G02Y@1117|Cyanobacteria,1MKK9@1212|Prochloraceae",DUF502,,Alternative locus ID,4.94E-162,1117|Cyanobacteria,455,59919.PMM0008,100,,,DUF502 domain-containing protein,WP_011131646.1,CDS
ftsY,cds-WP_011131648.1,11793,13115,10,PMM0010,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko02044",,,U,,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0017076,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0033036,GO:0033365,GO:0034613,GO:0035639,GO:0036094,GO:0042886,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0045047,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0070972,GO:0071702,GO:0071705,GO:0071944,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0097159,GO:0097367,GO:1901265,GO:1901363",M00335,"ko02024,ko03060,ko03070,map02024,map03060,map03070",,"3.A.5.1,3.A.5.2,3.A.5.7",ko:K03110,,"COG0552@1|root,COG0552@2|Bacteria,1G022@1117|Cyanobacteria,1MKNM@1212|Prochloraceae","SRP54,SRP54_N",ftsY,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),3.58E-262,1117|Cyanobacteria,724,59919.PMM0010,100,,ftsY,signal recognition particle-docking protein FtsY,WP_011131648.1,CDS
rsbU,cds-WP_011131649.1,13183,14526,11,PMM0011,NC_005072.1,+,NA,"ko00000,ko01000,ko03021",,,KT,3.1.3.3,,,,,,ko:K07315,,"COG2208@1|root,COG2208@2|Bacteria,1G0BD@1117|Cyanobacteria,1MKKS@1212|Prochloraceae",SpoIIE,rsbU,Regulator of sigma subunit,0,1117|Cyanobacteria,890,59919.PMM0011,100,,,serine/threonine-protein phosphatase,WP_011131649.1,CDS
argH,cds-WP_011131650.1,14585,15964,12,PMM0012,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko04147",iJN678.argH,,E,4.3.2.1,"GO:0003674,GO:0003824,GO:0004056,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016829,GO:0016840,GO:0016842,GO:0019752,GO:0042450,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","M00029,M00844,M00845","ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,map00220,map00250,map01100,map01110,map01130,map01230",R01086,,ko:K01755,"RC00445,RC00447","COG0165@1|root,COG0165@2|Bacteria,1G1IS@1117|Cyanobacteria,1MKEI@1212|Prochloraceae","ASL_C2,Lyase_1",argH,Argininosuccinate lyase,0,1117|Cyanobacteria,914,59919.PMM0012,100,,argH,argininosuccinate lyase,WP_011131650.1,CDS
dusA,cds-WP_011131652.1,16680,17684,14,PMM0014,NC_005072.1,-,NA,"ko00000,ko01000,ko03016",,,J,,"GO:0000049,GO:0000166,GO:0002943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0016627,GO:0017150,GO:0034470,GO:0034641,GO:0034660,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071704,GO:0090304,GO:0097159,GO:0102264,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363",,,,,ko:K05539,,"COG0042@1|root,COG0042@2|Bacteria,1G0ME@1117|Cyanobacteria,1MKMT@1212|Prochloraceae",Dus,dusA,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs",2.09E-244,1117|Cyanobacteria,671,59919.PMM0014,100,,dusA,tRNA dihydrouridine(20/20a) synthase DusA,WP_011131652.1,CDS
msrB,cds-WP_011131653.1,17712,18206,15,PMM0015,NC_005072.1,+,NA,"ko00000,ko01000",,,O,1.8.4.12,,,,,,ko:K07305,,"COG0229@1|root,COG0229@2|Bacteria,1G62Y@1117|Cyanobacteria,1MMF1@1212|Prochloraceae",SelR,,peptide methionine sulfoxide reductase,4.25E-123,1117|Cyanobacteria,350,59919.PMM0015,100,,msrB,peptide-methionine (R)-S-oxide reductase MsrB,WP_011131653.1,CDS
grpE,cds-WP_011131654.1,18283,19002,16,PMM0016,NC_005072.1,+,NA,"ko00000,ko03029,ko03110",,,O,,"GO:0000166,GO:0000774,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0008150,GO:0009987,GO:0017076,GO:0030234,GO:0030554,GO:0036094,GO:0042802,GO:0042803,GO:0044424,GO:0044464,GO:0046983,GO:0050790,GO:0051082,GO:0051087,GO:0060589,GO:0060590,GO:0065007,GO:0065009,GO:0097159,GO:0098772,GO:1901265,GO:1901363",,,,,ko:K03687,,"COG0576@1|root,COG0576@2|Bacteria,1G55A@1117|Cyanobacteria,1MKKU@1212|Prochloraceae",GrpE,grpE,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ",4.36E-153,1117|Cyanobacteria,432,59919.PMM0016,100,,grpE,nucleotide exchange factor GrpE,WP_011131654.1,CDS
